LME_PR_AL_serie_MOM_7,LME_PR_AL_serie_close
38,1789
29.5,1790.5
29,1818
36,1838.5
33,1818
56.5,1829.5
36.5,1821.5
15.5,1804.5
-4,1786.5
-22.5,1795.5
-30.5,1808
-11,1807
-0.5,1829
-0.5,1821
-3.5,1801
20,1806.5
43,1838.5
40.5,1848.5
36,1843
3.5,1832.5
-4,1817
-13.5,1787.5
-39.5,1767
-54.5,1784
-73,1775.5
-78.5,1764.5
-72.5,1760
-62.5,1754.5
-42,1745.5
-27,1740
-46.5,1737.5
-38.5,1737
-27,1737.5
-20.5,1739.5
-24.5,1730
0.5,1746
-7,1733
-3.5,1734
-16.5,1720.5
-37,1700.5
-29.5,1710
,
,
-31,1699
-51.5,1694.5
-32,1701
-6.5,1727.5
7,1727.5
48,1748.5
52,1762
69.5,1768.5
64.5,1759
49,1750
17.5,1745
17.5,1745
0.5,1749
-27,1735
-30.5,1738
-41.5,1717.5
-41,1709
,
8,1753
25.5,1770.5
15,1764
,
20,1755
0,1738
-0.5,1717
23.5,1732.5
-17,1736
-58,1712.5
-48.5,1715.5
-39.5,1715.5
-13.5,1724.5
-2.5,1714.5
19,1751.5
29.5,1765.5
54.5,1767
26.5,1742
30.5,1746
6.5,1731
11.5,1726
-41,1710.5
-53,1712.5
-58,1709
-56.5,1685.5
-83,1663
,
-73,1658
-85,1641
-48,1662.5
-58.5,1654
-31.5,1677.5
-14,1671.5
7.5,1670.5
27,1685
45.5,1686.5
47.5,1710
46,1700
15.5,1693
54.5,1726
46.5,1717
48.5,1733.5
12.5,1699
-2,1708
34.5,1734.5
22.5,1715.5
-2.5,1723.5
,
-43,1674
-47,1686.5
42,1741
23.5,1731.5
-5.5,1729
-1,1714.5
22,1745.5
42,1716
16,1702.5
-43.5,1697.5
-48,1683.5
-39,1690
-43,1671.5
-72.5,1673
-39.5,1676.5
-14.5,1688
18.5,1716
21.5,1705
-8,1682
37.5,1709
57,1730
67,1743.5
88,1776
66,1782
104,1809
111,1793
75.5,1784.5
61,1791
109.5,1853
64,1840
51,1833
7,1816
39.5,1832.5
52,1836.5
,
,
55,1846
-18,1835
0,1840
-10,1823
-16,1800
-53.5,1779
-67.5,1769
-110,1736
-99,1736
,
-91,1749
-95,1728
-83,1717
-61.5,1717.5
-30,1739
2.5,1738.5
21,1757
3.5,1752.5
3,1731
7,1724
4,1721.5
-25,1714
6.5,1745
24,1781
,
24.5,1777
70,1801
60,1784
101.5,1823
,
,
102,1816
57,1802
15,1796
51,1828
15.5,1816.5
86,1870
41.5,1864.5
19,1835
19.5,1821.5
4.5,1800.5
-26.5,1801.5
-8.5,1808
-42,1828
-21,1843.5
9.5,1844.5
35,1856.5
57.5,1858
64.5,1866
48.5,1856.5
21.5,1849.5
6.5,1850
-7.5,1837
4.5,1861
31,1889
26.5,1892.5
36.5,1893
60.5,1910
73.5,1923.5
48,1885
45,1906
33.5,1922.5
35,1927.5
69,1962
57,1967
34.5,1958
102,1987
114,2020
87.5,2010
85.5,2013
46,2008
20,1987
15.5,1973.5
-5,1982
-4,2016
-46,1964
-35,1978
-6.5,2001.5
-4.5,1982.5
40.5,2014
35,2017
14,2030
75.5,2039.5
47.5,2025.5
3,2004.5
-3.5,1979
-20,1994
10.5,2027.5
6.5,2036.5
18.5,2058
29.5,2055
,
77,2081.5
103,2082
113.5,2107.5
86,2113.5
,
45,2081.5
24.5,2082.5
22,2077
3.5,2085
-8,2074
-27.5,2080
-69,2044.5
-70,2011.5
-81,2001.5
-69,2008
-127.5,1957.5
-105,1969
-114,1966
-95,1949.5
-63,1948.5
-77,1924.5
-69,1939
-35.5,1922
-42.5,1926.5
-42,1924
-36.5,1913
-14.5,1934
-26.5,1898
-70,1869
-39.5,1882.5
-29,1897.5
-38.5,1885.5
7,1920
-11,1923
-7,1891
,
34,1903
26,1908.5
14.5,1912
-13,1872.5
9,1929
31,1954
80,1971
76.5,1979.5
75.5,1984
38,1950
90.5,1963
61,1990
57.5,2011.5
44,2015
77,2056.5
,
71.5,2055.5
100,2050
74,2037
62,2052
65,2076.5
25.5,2040.5
-39.5,2017
6,2061.5
14,2064
-17,2020
-3,2049
-61.5,2015
-16,2024.5
-0.5,2016.5
15,2076.5
-4.5,2059.5
63,2083
49.5,2098.5
83,2098
46.5,2071
,
4,2020.5
-62,2014.5
-93.5,1966
-108.5,1974.5
-97,2001.5
-138.5,1959.5
-126.5,1944.5
-71,1949.5
-79.5,1935
-48.5,1917.5
-58.5,1916
-127,1874.5
-96.5,1863
-56.5,1888
-62,1887.5
-58,1877
-66,1851.5
-83,1833
,
-47.5,1827
-30,1833
-57,1831
,
-66.5,1821
-84.5,1792.5
-79.5,1772
-71.5,1761.5
-51,1776
-35.5,1797.5
-53,1778
-55,1766
-25.5,1767
10,1782
36.5,1798
49,1825
31.5,1829
52.5,1830.5
100,1866
63,1830
35.5,1817.5
48.5,1846.5
24,1849
-7,1822
6.5,1837
,
,
-15,1851
39.5,1869.5
44,1861.5
2,1848.5
22,1871
32.5,1854.5
5,1842
-40,1811
-52.5,1817
-30.5,1831
-34.5,1814
-71,1800
-59.5,1795
-40.5,1801.5
-15,1796
-45,1772
-40,1791
-31,1783
-2,1798
-1,1794
,
,
-5,1796.5
-13,1783
14,1786
-4,1787
1,1784
-38,1760
-45,1749
-43,1753.5
-41.5,1741.5
-42.5,1743.5
-27,1760
-14.5,1769.5
11,1771
33,1782
8.5,1762
45,1786.5
42,1785.5
3,1763
13.5,1783
0.5,1771.5
-6,1776
26.5,1788.5
-21.5,1765
-15.5,1770
,
,
21.5,1784.5
-9,1774
1.5,1773
-3.5,1772.5
-7.5,1781
5,1770
40,1810
70.5,1855
72,1846
85,1858
53.5,1826
36,1817
35,1805
19.5,1829.5
-28,1827
21.5,1867.5
31.5,1889.5
83,1909
101,1918
,
105,1910
85.5,1915
43,1870
-4,1863.5
-38,1851.5
-55,1854
-59,1859
-64.5,1845.5
-102.5,1812.5
-75,1795
-114,1749.5
-103,1748.5
-118.5,1735.5
-133.5,1725.5
,
-135.5,1710
-113.5,1699
-76,1719
-44.5,1705
,
-57.5,1691
-24.5,1711
-9.5,1716
-13,1697
-6,1693
-24,1695
17.5,1722.5
35,1726
-10,1701
-15,1701
-37,1660
-32.5,1660.5
-20,1675
-42.5,1680
-76,1650
-51,1650
-21,1680
30,1690
10,1670.5
-7.5,1667.5
-38.5,1641.5
-4,1646
15,1665
12,1692
-5.5,1684.5
-28.5,1642
-23,1644.5
-22,1619.5
2,1648
-13,1652
-33.5,1658.5
-32,1652.5
32,1674
19,1663.5
43.5,1663
-12,1636
-22,1630
-48.5,1610
-48.5,1604
-80,1594
-63.5,1600
-54.5,1608.5
-18,1618
-22,1608
-17,1593
,
-41,1563
-17,1577
-31,1569
-56,1552.5
-62,1556
-55.5,1552.5
-46.5,1546.5
-16.5,1546.5
-39,1538
-29,1540
-29.5,1523
-24.5,1531.5
-31.5,1521
-3,1543.5
-23.5,1523
-53,1485
-14.5,1525.5
-10,1513
-4.5,1527
28.5,1549.5
,
33.5,1577
46.5,1569.5
121,1606
75.5,1601
74,1587
66,1593
78,1627.5
30,1607
44,1613.5
-7.5,1598.5
-1,1600
11,1598
13,1606
-3.5,1624
4.5,1611.5
-35.5,1578
-27,1571.5
-40,1560
-32,1566
-69.5,1536.5
-75.5,1548.5
-51.5,1560
0,1578
-27,1544.5
-13.5,1546.5
-20,1546
30,1566.5
3,1551.5
46,1606
29,1607
13.5,1558
22,1568.5
21,1567
-24.5,1542
-16,1535.5
-100,1506
-117,1490
-78.5,1479.5
-88.5,1480
-100,1467
-88.5,1453.5
-102,1433.5
-66.5,1439.5
-43,1447
,
,
-28,1451.5
-10.5,1469.5
5,1472
19,1472.5
57.5,1491
66,1505.5
38.5,1485.5
41.5,1493
14.5,1484
3.5,1475.5
-15.5,1457
-28.5,1462.5
-52,1453.5
-40,1445.5
-18.5,1474.5
-60.5,1423.5
-43,1432.5
-29,1428
7.5,1470
25.5,1479
-4,1441.5
-33,1441.5
36,1459.5
29.5,1462
74.5,1502.5
27.5,1497.5
-17.5,1461.5
51.5,1493
36.5,1478
38.5,1498
13,1475
-25.5,1477
-20,1477.5
20.5,1482
,
16,1509
39,1517
40.5,1538.5
65.5,1540.5
,
,
57,1534
28.5,1506
24.5,1506.5
,
-44,1465
-44.5,1472.5
-82.5,1456
-86.5,1454
-58.5,1475.5
-35,1471
-50,1456.5
-13,1452
5,1477.5
11,1467
32,1486
17.5,1493
-10,1461
12.5,1469
45,1497
1.5,1479
13,1480
21.5,1507.5
33.5,1526.5
,
,
58,1519
55,1524
